Plant Type,Family,Common Name,Genus,Organism,BLH ,BLTVA,BCTV,Barcode,Query,Sequences,Collection Date,Time Period,Region,Site,Plant BLH collected from
Crop,Fabaceae,Alfalfa,Medicago,Medicago sativa,166,0,0,ITS,bc1135--bc1140,2,2019-08-02,Early August,Pasco,WSU,Pigweed
Crop,Fabaceae,Alfalfa,Medicago,Medicago sativa,167,0,0,ITS,bc1158--bc1173,4,2019-08-02,Early August,Pasco,413,Russian thistle
Crop,Fabaceae,Alfalfa,Medicago,Medicago sativa,169,0,0,ITS,bc1156--bc1173,2,2019-08-02,Early August,Pasco,WSU,Russian thistle
Crop,Lamiaceae,Peppermint,Mentha,Mentha x,160,0,0,ITS,bc1124--bc1154,14,2019-08-01,Early August,Paterson,475,Kochia
Tree,Morceae,Himalyan Mulberry,Morus,Morus serrata,33,0,0,trnF,bc1108--bc1178,25,2019-06-12,Early June,Mattawa ,RDJ,Kochia
Crop,Solanaceae,Common Tobacco,Nicotiana,Nicotiana tabacum,33,0,0,ITS,bc1152--bc1155,3,2019-06-12,Early June,Mattawa ,RDJ,Kochia
Tree,Oleaceae,Common Olive,Olea,Olea europaea,54,0,0,ITS,bc1140--bc1157,4,2019-06-21,Late June,Pasco,WSU,Pigweed
Tree,Oleaceae,Common Olive,Olea,Olea europaea,69,1,0,ITS,bc1133--bc1155,7,2019-07-03,Early July,Mattawa ,RDJ,Kochia
Weed,Hydrophyllaceae,Franklin’s phacelia,Phacelia,Phacelia franklinii,71,0,1,ITS,bc1123--bc1155,3,2019-07-03,Early July,Mattawa ,RDJ,Kochia
Shrub,Rosaceae,Japanese Photinia,Photinia,Photinia glabra,19,0,1,ITS,bc1140--bc1150,3,2019-06-12,Early June,Mattawa ,RDR,Potato
Shrub,Rosaceae,Taiwanese Photinia,Photinia,Photinia serratifolia,2,0,0,ITS,bc1134--bc1140,2,2019-06-03,Early June,Mattawa ,RDR,Russian thistle
Nightshade,Solanaceae,Clammy Groundcherry,Physalis,Physalis heterophylla,60,0,1,trnF,bc1113--bc1143,2,2019-07-03,Early July,Mattawa ,RDJ,Potato
Nightshade,Solanaceae,Clammy Groundcherry,Physalis,Physalis heterophylla,91,0,1,trnF,bc1115--bc1143,4,2019-07-05,Early July,Mattawa,WSU,Potato
Nightshade,Solanaceae,Cape gooseberry,Physalis,Physalis peruviana,1,1,0,ITS,bc1133--bc1140,10,2019-06-03,Early June,Mattawa ,RDR,Russian thistle
Tree,Anacardiaceae,Chinese Pistachio,Pistacia,Pistacia chinensis,51,0,0,trnF,bc1108--bc1113,12,2019-06-14,Early June,Pasco,WSU,Russian thistle
Tree,Anacardiaceae,Chinese Pistachio,Pistacia,Pistacia chinensis,90,0,0,trnF,bc1114--bc1143,4,2019-07-05,Early July,Mattawa,WSU,Potato
Tree,x,Pistachio,Pistacia,Pistacia weinmaniifolia,159,0,0,ITS,bc1123--bc1154,10,2019-08-01,Early August,Paterson,475,Kochia
Crop,Fabaceae,Pea,Pisum,Pisum sativum,60,0,1,ITS,bc1140--bc1159,2,2019-07-03,Early July,Mattawa ,RDJ,Potato
Grass,Poaceae,Cottonball Bluegrass,Poa,Poa sublanata,173,0,0,trnF,bc1114--bc1169,2,2019-08-02,Early August,Pasco,WSU,Russian thistle
Weed,Polygonaceae,Common Knotgrass,Polygonum,Polygonum aviculare,111,1,0,trnF,bc1107--bc1113,7,2019-07-11,Early July,Paterson,107,Russian thistle
Tree,Rosaceae,Peach,Prunus,Prunus persica,43,0,0,ITS,bc1155--bc1157,64,2019-06-14,Early June,Pasco,WSU,Kochia
Tree,Rosaceae,Peach,Prunus,Prunus persica,44,0,0,ITS,bc1155--bc1156,4,2019-06-14,Early June,Pasco,WSU,Kochia
Tree,Rosaceae,Sweet Cherry,Prunus,Prunus avium,159,0,0,ITS,bc1123--bc1154,2,2019-08-01,Early August,Paterson,475,Kochia
Grass,Poaceae,Bluebunch Wheat Grass,Pseudoroegneria,Pseudoroegneria gracillima,69,1,0,trnF,bc1108--bc1112,3,2019-07-03,Early July,Mattawa ,RDJ,Kochia
Tree,Rosaceae,Pear,Pyrus,Pyrus communis,166,0,0,ITS,bc1135--bc1140,23,2019-08-02,Early August,Pasco,WSU,Pigweed
Tree,Rosaceae,Pendula or Willow-Leaf Pear,Pyrus,Pyrus salicifolia,90,0,0,trnF,bc1114--bc1143,8,2019-07-05,Early July,Mattawa,WSU,Potato
Tree,Fagaceae,Oak,Quercus,Quercus robur,19,0,1,ITS,bc1140--bc1150,4,2019-06-12,Early June,Mattawa ,RDR,Potato
Tree,Fagaceae,Oak,Quercus,Quercus robur,91,0,1,ITS,bc1140--bc1148,2,2019-07-05,Early July,Mattawa,WSU,Potato
Tree,Fagaceae,Northern red oak,Quercus,Quercus rubra,35,0,0,ITS,bc1155--bc1158,18,2019-06-12,Early June,Mattawa ,RDJ,Kochia
Tree,Fagaceae,Oak,Quercus,Quercus sp.,20,0,0,ITS,bc1140--bc1146,26,2019-06-12,Early June,Mattawa ,RDR,Potato
Crop,Brassicaceae,Radish,Raphanus,Raphanus sativus,28,1,1,ITS,bc1146--bc1155,4,2019-06-12,Early June,Mattawa ,RDR,Mustard
Crop,Brassicaceae,Radish,Raphanus,Raphanus sativus,28,1,1,trnF,bc1097--bc1142,2,2019-06-12,Early June,Mattawa ,RDR,Mustard
Crop,Brassicaceae,Radish,Raphanus,Raphanus sativus,33,0,0,ITS,bc1152--bc1155,10,2019-06-12,Early June,Mattawa ,RDJ,Kochia
Crop,Brassicaceae,Radish,Raphanus,Raphanus sativus,39,0,0,ITS,bc1140--bc1152,3,2019-06-14,Early June,Pasco,505,Pigweed
Crop,Brassicaceae,Radish,Raphanus,Raphanus sativus,52,0,0,trnF,bc1142--bc1176,2,2019-06-20,Late June,Paterson,475,Pigweed
Crop,Brassicaceae,Radish,Raphanus,Raphanus sativus,69,1,0,trnF,bc1108--bc1112,25,2019-07-03,Early July,Mattawa ,RDJ,Kochia
Crop,Brassicaceae,Radish,Raphanus,Raphanus sativus,69,1,0,ITS,bc1133--bc1155,17,2019-07-03,Early July,Mattawa ,RDJ,Kochia
Crop,Brassicaceae,Radish,Raphanus,Raphanus sativus,70,0,0,ITS,bc1134--bc1155,64,2019-07-03,Early July,Mattawa ,RDJ,Kochia
Crop,Brassicaceae,Radish,Raphanus,Raphanus sativus,70,0,0,trnF,bc1108--bc1111,8,2019-07-03,Early July,Mattawa ,RDJ,Kochia
Crop,Brassicaceae,Radish,Raphanus,Raphanus sativus,71,0,1,ITS,bc1123--bc1155,6,2019-07-03,Early July,Mattawa ,RDJ,Kochia
Crop,Brassicaceae,Radish,Raphanus,Raphanus sativus,72,0,0,ITS,bc1124--bc1155,21,2019-07-03,Early July,Mattawa ,RDJ,Kochia
Crop,Brassicaceae,Radish,Raphanus,Raphanus sativus,72,0,0,trnF,bc1097--bc1108,12,2019-07-03,Early July,Mattawa ,RDJ,Kochia
Crop,Brassicaceae,Radish,Raphanus,Raphanus sativus,72,0,0,ITS,bc1124--bc1155,10,2019-07-03,Early July,Mattawa ,RDJ,Kochia
Crop,Brassicaceae,Radish,Raphanus,Raphanus sativus,73,1,0,ITS,bc1150--bc1154,19,2019-07-03,Early July,Mattawa ,RDJ,Kochia
Crop,Brassicaceae,Radish,Raphanus,Raphanus sativus,73,1,0,trnF,bc1107--bc1178,16,2019-07-03,Early July,Mattawa ,RDJ,Kochia
Crop,Brassicaceae,Radish,Raphanus,Raphanus sativus,79,1,0,trnF,bc1107--bc1176,2,2019-07-03,Early July,Mattawa ,RDJ,Kochia
Crop,Brassicaceae,Radish,Raphanus,Raphanus sativus,82,1,0,trnF,bc1107--bc1110,5,2019-07-03,Early July,Mattawa ,RDJ,Kochia
Crop,Brassicaceae,Radish,Raphanus,Raphanus sativus,92,0,0,ITS,bc1150--bc1189,35,2019-07-05,Early July,Mattawa,WSU,Potato
Crop,Brassicaceae,Radish,Raphanus,Raphanus sativus,96,1,0,ITS,bc1152--bc1189,3,2019-07-05,Early July,Mattawa,WSU,Pigweed
Crop,Brassicaceae,Radish,Raphanus,Raphanus sativus,97,0,0,trnF,bc1143--bc1176,19,2019-07-05,Early July,Mattawa,WSU,Pigweed
