Type,Family,Common,Genus,BLH ,idBLH,BLTVA,BCTV,Barcode,Query,Organism,Sequences,Date,Time,Region,Site,HostPlant ,Year
Pigweed,Amaranthaceae,Smooth amaranth or Smooth pigweed,Amaranthus,35,35_2019,0,0,ITS,bc1155--bc1158,Amaranthus hybridus,3,2019-6-12,Early June,Mattawa ,RDJ,Kochia,2019
Pigweed,Amaranthaceae,Smooth amaranth or Smooth pigweed,Amaranthus,39,39_2019,0,0,ITS,bc1140--bc1152,Amaranthus hybridus,97,2019-6-14,Early June,Pasco,505,Pigweed,2019
Pigweed,Amaranthaceae,Smooth amaranth or Smooth pigweed,Amaranthus,40,40_2019,0,0,ITS,bc1140--bc1153,Amaranthus hybridus,399,2019-6-14,Early June,Pasco,505,Pigweed,2019
Pigweed,Amaranthaceae,Smooth amaranth or Smooth pigweed,Amaranthus,52,52_2019,0,0,ITS,bc1140--bc1158,Amaranthus hybridus,1061,2019-6-20,Late June,Paterson,475,Pigweed,2019
Pigweed,Amaranthaceae,Smooth amaranth or Smooth pigweed,Amaranthus,54,54_2019,0,0,ITS,bc1140--bc1157,Amaranthus hybridus,7,2019-6-21,Late June,Pasco,WSU,Pigweed,2019
Pigweed,Amaranthaceae,Smooth amaranth or Smooth pigweed,Amaranthus,69,69_2019,1,0,ITS,bc1133--bc1155,Amaranthus hybridus,8,2019-7-3,Early July,Mattawa ,RDJ,Kochia,2019
Pigweed,Amaranthaceae,Smooth amaranth or Smooth pigweed,Amaranthus,70,70_2019,0,0,ITS,bc1134--bc1155,Amaranthus hybridus,7,2019-7-3,Early July,Mattawa ,RDJ,Kochia,2019
Pigweed,Amaranthaceae,Smooth amaranth or Smooth pigweed,Amaranthus,71,71_2019,0,1,ITS,bc1123--bc1155,Amaranthus hybridus,2,2019-7-3,Early July,Mattawa ,RDJ,Kochia,2019
Pigweed,Amaranthaceae,Smooth amaranth or Smooth pigweed,Amaranthus,72,72_2019,0,0,ITS,bc1124--bc1155,Amaranthus hybridus,10,2019-7-3,Early July,Mattawa ,RDJ,Kochia,2019
Pigweed,Amaranthaceae,Smooth amaranth or Smooth pigweed,Amaranthus,96,96_2019,1,0,ITS,bc1152--bc1189,Amaranthus hybridus,119,2019-7-5,Early July,Mattawa,WSU,Pigweed,2019
Pigweed,Amaranthaceae,Smooth amaranth or Smooth pigweed,Amaranthus,97,97_2019,0,0,ITS,bc1153--bc1189,Amaranthus hybridus,481,2019-7-5,Early July,Mattawa,WSU,Pigweed,2019
Pigweed,Amaranthaceae,Smooth amaranth or Smooth pigweed,Amaranthus,103,103_2019,1,1,ITS,bc1154--bc1158,Amaranthus hybridus,3,2019-7-10,Early July,Mattawa,RDJ,Kochia,2019
Pigweed,Amaranthaceae,Smooth amaranth or Smooth pigweed,Amaranthus,106,106_2019,0,0,ITS,bc1158--bc1189,Amaranthus hybridus,3,2019-7-11,Early July,Paterson,107,Potato,2019
Pigweed,Amaranthaceae,Smooth amaranth or Smooth pigweed,Amaranthus,108,108_2019,1,0,ITS,bc1154--bc1157,Amaranthus hybridus,3,2019-7-11,Early July,Paterson,107,Russian thistle,2019
Pigweed,Amaranthaceae,Smooth amaranth or Smooth pigweed,Amaranthus,111,111_2019,1,0,ITS,bc1135--bc1154,Amaranthus hybridus,3,2019-7-11,Early July,Paterson,107,Russian thistle,2019
Pigweed,Amaranthaceae,Smooth amaranth or Smooth pigweed,Amaranthus,114,114_2019,0,0,ITS,bc1156--bc1189,Amaranthus hybridus,5,2019-7-11,Early July,Paterson,475,Potato,2019
Pigweed,Amaranthaceae,Smooth amaranth or Smooth pigweed,Amaranthus,128,128_2019,1,0,ITS,bc1134--bc1154,Amaranthus hybridus,6,2019-7-12,Early July,Pasco,WSU,Kochia,2019
Pigweed,Amaranthaceae,Smooth amaranth or Smooth pigweed,Amaranthus,141,141_2019,1,0,ITS,bc1135--bc1189,Amaranthus hybridus,49,2019-7-18,Late July,Paterson,529,Pigweed,2019
Pigweed,Amaranthaceae,Smooth amaranth or Smooth pigweed,Amaranthus,145,145_2019,0,0,ITS,bc1148--bc1189,Amaranthus hybridus,28,2019-7-19,Late July,Pasco,WSU,Pigweed,2019
Pigweed,Amaranthaceae,Smooth amaranth or Smooth pigweed,Amaranthus,153,153_2019,0,0,ITS,bc1133--bc1189,Amaranthus hybridus,5,2019-7-31,Late July,Mattawa,RDR,Pigweed,2019
Pigweed,Amaranthaceae,Smooth amaranth or Smooth pigweed,Amaranthus,160,160_2019,0,0,ITS,bc1124--bc1154,Amaranthus hybridus,34,2019-8-1,Early August,Paterson,475,Kochia,2019
Pigweed,Amaranthaceae,Smooth amaranth or Smooth pigweed,Amaranthus,162,162_2019,0,0,ITS,bc1146--bc1173,Amaranthus hybridus,8,2019-8-1,Early August,Paterson,475,Kochia,2019
Pigweed,Amaranthaceae,Smooth amaranth or Smooth pigweed,Amaranthus,163,163_2019,0,0,ITS,bc1152--bc1173,Amaranthus hybridus,6,2019-8-2,Early August,Pasco,WSU,Kochia,2019
Pigweed,Amaranthaceae,Smooth amaranth or Smooth pigweed,Amaranthus,164,164_2019,0,0,ITS,bc1153--bc1173,Amaranthus hybridus,3,2019-8-2,Early August,Pasco,WSU,Kochia,2019
Pigweed,Amaranthaceae,Smooth amaranth or Smooth pigweed,Amaranthus,166,166_2019,0,0,ITS,bc1134--bc1189,Amaranthus hybridus,11,2019-8-2,Early August,Pasco,WSU,Pigweed,2019
Pigweed,Amaranthaceae,Smooth amaranth or Smooth pigweed,Amaranthus,167,167_2019,0,0,ITS,bc1158--bc1173,Amaranthus hybridus,6,2019-8-2,Early August,Pasco,413,Russian thistle,2019
Pigweed,Amaranthaceae,Smooth amaranth or Smooth pigweed,Amaranthus,169,169_2019,0,0,ITS,bc1156--bc1173,Amaranthus hybridus,2,2019-8-2,Early August,Pasco,WSU,Russian thistle,2019
Pigweed,Amaranthaceae,Smooth amaranth or Smooth pigweed,Amaranthus,175,175_2019,0,0,ITS,bc1148--bc1173,Amaranthus hybridus,19,2019-8-2,Early August,Pasco,WSU,Russian thistle,2019
Pigweed,Amaranthaceae,Smooth Pigweed,Amaranthus,504,504_2020,1,0,ITS,bc1133--bc1171,Amaranthus hybridus,13,2020-6-25,Late June,Pasco,M,Netseed Lambsquarters,2020
Pigweed,Amaranthaceae,Spiny Pigweed,Amaranthus,504,504_2020,1,0,trnF,bc1100--bc1105,Amaranthus spinosus,5,2020-6-25,Late June,Pasco,M,Netseed Lambsquarters,2020
Pigweed,Amaranthaceae,Spiny Pigweed,Amaranthus,655,655_2020,0,0,trnF,bc1144--bc1176,Amaranthus spinosus,4,2020-8-12,Early August,Othello,F,Russian thistle,2020
Pigweed,Amaranthaceae,Spiny Pigweed,Amaranthus,496,496_2020,0,0,trnF,bc1097--bc1105,Amaranthus spinosus,2,2020-6-25,Late June,Paterson,I,Russian thistle,2020
Pigweed,Amaranthaceae,Spiny Pigweed,Amaranthus,518,518_2020,1,0,trnF,bc1106--bc1111,Amaranthus spinosus,5,2020-6-25,Late June,Pasco,M,Russian thistle,2020
Pigweed,Amaranthaceae,Spiny Pigweed,Amaranthus,201,201_2020,0,0,trnF,bc1108--bc1111,Amaranthus spinosus,17,2020-6-3,Early June,Moxee,A,Tumble mustard,2020
Pigweed,Amaranthaceae,Spiny Pigweed,Amaranthus,380,380_2021,0,0,trnF,bc1107--bc1177,Amaranthus spinosus,14,2021-5-26,Late May,Moxee,Moxee farm,Kochia,2021
Pigweed,Amaranthaceae,Slender amaranth or Green amaranth,Amaranthus,39,39_2019,0,0,trnF,bc1109--bc1142,Amaranthus viridis,8,2019-6-14,Early June,Pasco,505,Pigweed,2019
Pigweed,Amaranthaceae,Slender amaranth or Green amaranth,Amaranthus,96,96_2019,1,0,trnF,bc1110--bc1143,Amaranthus viridis,19,2019-7-5,Early July,Mattawa,WSU,Pigweed,2019
Pigweed,Amaranthaceae,Slender amaranth or Green amaranth,Amaranthus,97,97_2019,0,0,trnF,bc1143--bc1176,Amaranthus viridis,156,2019-7-5,Early July,Mattawa,WSU,Pigweed,2019
Pigweed,Amaranthaceae,Slender amaranth or Green amaranth,Amaranthus,141,141_2019,1,0,trnF,bc1115--bc1144,Amaranthus viridis,94,2019-7-18,Late July,Paterson,529,Pigweed,2019
Pigweed,Amaranthaceae,Slender amaranth or Green amaranth,Amaranthus,166,166_2019,0,0,trnF,bc1144--bc1176,Amaranthus viridis,2,2019-8-2,Early August,Pasco,WSU,Pigweed,2019
Pigweed,Amaranthaceae,Slender amaranth or Green amaranth,Amaranthus,175,175_2019,0,0,trnF,bc1112--bc1169,Amaranthus viridis,9,2019-8-2,Early August,Pasco,WSU,Russian thistle,2019
Weed,Asteraceae,Ragweed,Ambrosia,12,12_2020,0,0,ITS,bc1150--bc1191,Ambrosia acanthicarpa,18,2020-4-23,Late April,Moxee,A,Flixweed,2020
Weed,Boraginaceae,Common fiddleneck(Intermediate),Amsinckia,40,40_2019,0,0,trnF,bc1110--bc1142,Amsinckia intermedia,7,2019-6-14,Early June,Pasco,505,Pigweed,2019
Weed,Boraginaceae,Borage,Amsinckia,787,787_2020,1,0,trnF,bc1169--bc1177,Amsinckia intermedia,8,2020-8-27,Late August,Othello,E,Kochia,2020
Weed,Boraginaceae,Common fiddleneck(Menzie's),Amsinckia,33,33_2019,0,0,ITS,bc1152--bc1155,Amsinckia menziesii,6,2019-6-12,Early June,Mattawa ,RDJ,Kochia,2019
Weed,Asteraceae,Artemisia Yin Chen Hao,Artemisia,33,33_2019,0,0,trnF,bc1108--bc1178,Artemisia capillaris,8,2019-6-12,Early June,Mattawa ,RDJ,Kochia,2019
Crop,Asteraceae,Tarragon,Artemisia,17,17_2020,1,1,ITS,bc1150--bc1154,Artemisia dracunculus,386,2020-5-13,Early May,Paterson,H,Russian thistle,2020
Weed,Asteraceae,Artemisia Makino,Artemisia,34,34_2019,0,0,ITS,bc1153--bc1155,Artemisia fukudo,2,2019-6-12,Early June,Mattawa ,RDJ,Kochia,2019
Weed,Asteraceae,Artemisia Makino,Artemisia,56,56_2019,0,0,ITS,bc1140--bc1156,Artemisia fukudo,2,2019-6-21,Late June,Pasco,WSU,Pigweed,2019
Weed,Amaranthaceae,Saltbush,Chenopodium,70,70_2019,0,0,ITS,bc1134--bc1155,Atriplex sp.,2,2019-7-3,Early July,Mattawa ,RDJ,Kochia,2019
Weed,Basellaceae,Vine Spinach,Basella,380,380_2021,0,0,trnF,bc1107--bc1177,Basella alba,8,2021-5-26,Late May,Moxee,Moxee farm,Kochia,2021
Weed,Basellaceae,Vine Spinach,Basella,448,448_2021,0,0,trnF,bc1108--bc1178,Basella alba,11,2021-5-26,Late May,Othello,Othello farm,Kochia,2021
Kochia,Amaranthaceae,Mexican Fireweed/Kochia type,Bassia,44,44_2019,0,0,trnF,bc1108--bc1109,Bassia littorea,2,2019-6-14,Early June,Pasco,WSU,Kochia,2019
Kochia,Amaranthaceae,Mexican Fireweed/Kochia type,Bassia,70,70_2019,0,0,trnF,bc1108--bc1111,Bassia littorea,2,2019-7-3,Early July,Mattawa ,RDJ,Kochia,2019
Kochia,Amaranthaceae,Mexican Fireweed/Kochia type,Bassia,72,72_2019,0,0,trnF,bc1097--bc1108,Bassia littorea,4,2019-7-3,Early July,Mattawa ,RDJ,Kochia,2019
Kochia,Amaranthaceae,Mexican Fireweed/Kochia type,Bassia,73,73_2019,1,0,trnF,bc1107--bc1178,Bassia littorea,38,2019-7-3,Early July,Mattawa ,RDJ,Kochia,2019
Kochia,Amaranthaceae,Mexican Fireweed/Kochia type,Bassia,82,82_2019,1,0,trnF,bc1107--bc1110,Bassia littorea,6,2019-7-3,Early July,Mattawa ,RDJ,Kochia,2019
Kochia,Amaranthaceae,Mexican Fireweed/Kochia type,Bassia,106,106_2019,0,0,trnF,bc1143--bc1177,Bassia littorea,10,2019-7-11,Early July,Paterson,107,Potato,2019
Kochia,Amaranthaceae,Mexican Fireweed/Kochia type,Bassia,128,128_2019,1,0,trnF,bc1100--bc1107,Bassia littorea,30,2019-7-12,Early July,Pasco,WSU,Kochia,2019
Kochia,Amaranthaceae,Mexican Fireweed/Kochia type,Bassia,141,141_2019,1,0,trnF,bc1115--bc1144,Bassia littorea,21,2019-7-18,Late July,Paterson,529,Pigweed,2019
Kochia,Amaranthaceae,Mexican Fireweed/Kochia type,Bassia,159,159_2019,0,0,trnF,bc1098--bc1107,Bassia littorea,2,2019-8-1,Early August,Paterson,475,Kochia,2019
Kochia,Amaranthaceae,Mexican Fireweed/Kochia type,Bassia,160,160_2019,0,0,trnF,bc1097--bc1107,Bassia littorea,3,2019-8-1,Early August,Paterson,475,Kochia,2019
Kochia,Amaranthaceae,Mexican Fireweed/Kochia type,Bassia,161,161_2019,0,0,ITS,bc1169--bc1178,Bassia littorea,72,2019-8-1,Early August,Paterson,475,Kochia,2019
Kochia,Amaranthaceae,Mexican Fireweed/Kochia type,Bassia,162,162_2019,0,0,trnF,bc1169--bc1177,Bassia littorea,8,2019-8-1,Early August,Paterson,475,Kochia,2019
Kochia,Amaranthaceae,Mexican Fireweed/Kochia type,Bassia,163,163_2019,0,0,trnF,bc1169--bc1176,Bassia littorea,8,2019-8-2,Early August,Pasco,WSU,Kochia,2019
Kochia,Amaranthaceae,Mexican Fireweed/Kochia type,Bassia,164,164_2019,0,0,trnF,bc1110--bc1169,Bassia littorea,26,2019-8-2,Early August,Pasco,WSU,Kochia,2019
Kochia,Amaranthaceae,Mexican Fireweed/Kochia type,Bassia,167,167_2019,0,0,trnF,bc1109--bc1169,Bassia littorea,2,2019-8-2,Early August,Pasco,413,Russian thistle,2019
Kochia,Amaranthaceae,Mexican Fireweed/Kochia type,Bassia,168,168_2019,0,0,trnF,bc1120--bc1169,Bassia littorea,6,2019-8-2,Early August,Pasco,413,Russian thistle,2019
Kochia,Amaranthaceae,Kochia,Bassia,18,18_2020,0,0,trnF,bc1105--bc1120,Bassia littorea,2,2020-5-18,Late May,Moxee,A,Flixweed,2020
Kochia,Amaranthaceae,Kochia,Bassia,217,217_2020,0,1,trnF,bc1108--bc1113,Bassia littorea,14,2020-6-3,Early June,Moxee,A,Flixweed,2020
Kochia,Amaranthaceae,Kochia,Bassia,46,46_2020,1,0,trnF,bc1111--bc1175,Bassia littorea,2,2020-5-18,Late May,Mattawa,B,Flixweed,2020
Kochia,Amaranthaceae,Kochia,Bassia,472,472_2020,1,0,trnF,bc1113--bc1144,Bassia littorea,14,2020-6-17,Late June,Othello,F,Kochia,2020
Kochia,Amaranthaceae,Kochia,Bassia,663,663_2020,0,0,trnF,bc1103--bc1177,Bassia littorea,253,2020-8-12,Early August,Othello,G,Kochia,2020
Kochia,Amaranthaceae,Kochia,Bassia,788,788_2020,0,1,trnF,bc1107--bc1177,Bassia littorea,9,2020-8-27,Late August,Othello,E,Kochia,2020
Kochia,Amaranthaceae,Kochia,Bassia,127,127_2020,0,0,trnF,bc1110--bc1169,Bassia littorea,311,2020-5-18,Late May,Othello,F,Kochia,2020
Kochia,Amaranthaceae,Kochia,Bassia,190,190_2020,1,0,trnF,bc1107--bc1120,Bassia littorea,2,2020-5-27,Late May,Pasco,M,Kochia,2020
Kochia,Amaranthaceae,Kochia,Bassia,193,193_2020,0,1,trnF,bc1107--bc1109,Bassia littorea,11,2020-5-27,Late May,Pasco,M,Kochia,2020
Kochia,Amaranthaceae,Kochia,Bassia,391,391_2020,1,0,trnF,bc1114--bc1143,Bassia littorea,,2020-6-12,Early June,Pasco,N,Kochia,2020
Kochia,Amaranthaceae,Kochia,Bassia,508,508_2020,0,1,trnF,bc1105--bc1113,Bassia littorea,100,2020-6-25,Late June,Pasco,M,Kochia,2020
Kochia,Amaranthaceae,Kochia,Bassia,582,582_2020,0,1,trnF,bc1175--bc1176,Bassia littorea,10,2020-7-15,Late July,Othello,E,Kochia,2020
Kochia,Amaranthaceae,Kochia,Bassia,626,626_2020,0,0,trnF,bc1142--bc1176,Bassia littorea,30,2020-8-12,Early August,Moxee,A,Kochia,2020
Kochia,Amaranthaceae,Kochia,Bassia,671,671_2020,1,0,trnF,bc1105--bc1177,Bassia littorea,261,2020-8-12,Early August,Othello,G,Kochia,2020
Kochia,Amaranthaceae,Kochia,Bassia,786,786_2020,0,1,trnF,bc1175--bc1177,Bassia littorea,42,2020-8-27,Late August,Othello,E,Kochia,2020
Kochia,Amaranthaceae,Kochia,Bassia,787,787_2020,1,0,trnF,bc1169--bc1177,Bassia littorea,93,2020-8-27,Late August,Othello,E,Kochia,2020
Kochia,Amaranthaceae,Kochia,Bassia,827,827_2020,0,1,trnF,bc1142--bc1177,Bassia littorea,16,2020-10-2,Early October,Moxee,A,Kochia,2020
Kochia,Amaranthaceae,Kochia,Bassia,504,504_2020,1,0,trnF,bc1100--bc1105,Bassia littorea,7,2020-6-25,Late June,Pasco,M,Netseed Lambsquarters,2020
Kochia,Amaranthaceae,Kochia,Bassia,362,362_2020,0,1,trnF,bc1110--bc1142,Bassia littorea,2,2020-6-3,Early June,Mattawa,D,Potato,2020
Kochia,Amaranthaceae,Kochia,Bassia,577,577_2020,0,1,trnF,bc1106--bc1176,Bassia littorea,51,2020-7-15,Late July,Mattawa,D,Potato,2020
Kochia,Amaranthaceae,Kochia,Bassia,171,171_2020,0,0,trnF,bc1107--bc1113,Bassia littorea,4,2020-5-27,Late May,Paterson,J,Russian thistle,2020
Kochia,Amaranthaceae,Kochia,Bassia,487,487_2020,1,1,trnF,bc1100--bc1103,Bassia littorea,3,2020-6-25,Late June,Paterson,H,Russian thistle,2020
Kochia,Amaranthaceae,Kochia,Bassia,655,655_2020,0,0,trnF,bc1144--bc1176,Bassia littorea,45,2020-8-12,Early August,Othello,F,Russian thistle,2020
Kochia,Amaranthaceae,Kochia,Bassia,792,792_2020,0,1,trnF,bc1108--bc1177,Bassia littorea,3,2020-8-27,Late August,Othello,E,Russian thistle,2020
Kochia,Amaranthaceae,Kochia,Bassia,137,137_2020,1,0,trnF,bc1097--bc1107,Bassia littorea,2,2020-5-25,Late May,Paterson,H,Russian thistle,2020
Kochia,Amaranthaceae,Kochia,Bassia,198,198_2020,0,0,trnF,bc1107--bc1110,Bassia littorea,39,2020-5-27,Late May,Pasco,M,Russian thistle,2020
Kochia,Amaranthaceae,Kochia,Bassia,232,232_2020,1,1,trnF,bc1108--bc1110,Bassia littorea,24,2020-6-3,Early June,Moxee,A,Russian thistle,2020
Kochia,Amaranthaceae,Kochia,Bassia,345,345_2020,1,1,trnF,bc1120--bc1142,Bassia littorea,84,2020-6-3,Early June,Mattawa,B,Russian thistle,2020
Kochia,Amaranthaceae,Kochia,Bassia,358,358_2020,0,1,trnF,bc1109--bc1142,Bassia littorea,11,2020-6-3,Early June,Mattawa,C,Russian thistle,2020
Kochia,Amaranthaceae,Kochia,Bassia,369,369_2020,1,1,trnF,bc1100--bc1143,Bassia littorea,3,2020-6-3,Early June,Mattawa,D,Russian thistle,2020
Kochia,Amaranthaceae,Kochia,Bassia,457,457_2020,1,0,trnF,bc1110--bc1143,Bassia littorea,14,2020-6-17,Late June,Moxee,A,Russian thistle,2020
Kochia,Amaranthaceae,Kochia,Bassia,468,468_2020,1,0,trnF,bc1100--bc1144,Bassia littorea,2,2020-6-17,Late June,Othello,E,Russian thistle,2020
Kochia,Amaranthaceae,Kochia,Bassia,482,482_2020,1,0,trnF,bc1110--bc1144,Bassia littorea,4,2020-6-17,Late June,Othello,F,Russian thistle,2020
Kochia,Amaranthaceae,Kochia,Bassia,496,496_2020,0,0,trnF,bc1097--bc1105,Bassia littorea,5,2020-6-25,Late June,Paterson,I,Russian thistle,2020
Kochia,Amaranthaceae,Kochia,Bassia,556,556_2020,1,1,trnF,bc1100--bc1107,Bassia littorea,389,2020-7-1,Early July,Mattawa,B,Russian thistle,2020
Kochia,Amaranthaceae,Kochia,Bassia,558,558_2020,1,1,trnF,bc1108--bc1114,Bassia littorea,14,2020-7-1,Early July,Othello,E,Russian thistle,2020
Kochia,Amaranthaceae,Kochia,Bassia,644,644_2020,0,0,trnF,bc1143--bc1176,Bassia littorea,32,2020-8-12,Early August,Moxee,A,Russian thistle,2020
Kochia,Amaranthaceae,Kochia,Bassia,763,763_2020,0,0,trnF,bc1106--bc1177,Bassia littorea,3,2020-8-27,Late August,Mattawa,C,Russian thistle,2020
Kochia,Amaranthaceae,Kochia,Bassia,16,16_2020,0,0,trnF,bc1103--bc1110,Bassia littorea,2,2020-5-13,Early May,Paterson,H,Russian thistle,2020
Kochia,Amaranthaceae,Kochia,Bassia,299,299_2020,1,1,trnF,bc1100--bc1142,Bassia littorea,2,2020-6-3,Early June,Mattawa,B,Russian thistle,2020
Kochia,Amaranthaceae,Kochia,Bassia,19,19_2020,0,0,trnF,bc1105--bc1109,Bassia littorea,6,2020-5-18,Late May,Moxee,A,Tumble mustard,2020
Kochia,Amaranthaceae,Kochia,Bassia,211,211_2020,0,1,trnF,bc1108--bc1112,Bassia littorea,39,2020-6-3,Early June,Moxee,A,Tumble mustard,2020
