Plant Type,Family,Common Name,Genus,Organism,OTU,Sequences,Pairwise Identity,BLH,Query,BarCode,Time Period,Date,Region,Site,Host Plant,Sex,BLTVA,BCTV,S citri,Notes
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,3,10,100.00%,582,bc1175--bc1176,trnF,Late July,2020-07-15,Othello,E,Kochia,F,0,1,0,RADseq
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,4,30,100.00%,626,bc1142--bc1176,trnF,Early August,2020-08-12,Moxee,A,Kochia,F,0,0,1,Faintly positive for s citri
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,6,32,100.00%,644,bc1143--bc1176,trnF,Early August,2020-08-12,Moxee,A,Russian thistle,F,0,0,0,RADseq
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,41,261,100.00%,671,bc1105--bc1177,trnF,Early August,2020-08-12,Othello,G,Kochia,F,1,0,0,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,3,3,100.00%,763,bc1106--bc1177,trnF,Late August,2020-08-27,Mattawa,C,Russian thistle,F,0,0,1,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,3,42,100.00%,786,bc1175--bc1177,trnF,Late August,2020-08-27,Othello,E,Kochia,F,0,1,0,RADseq
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,16,93,100.00%,787,bc1169--bc1177,trnF,Late August,2020-08-27,Othello,E,Kochia,F,1,0,0,RADseq
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,3,16,100.00%,827,bc1142--bc1177,trnF,Early October,2020-10-02,Moxee,A,Kochia,F,0,1,0,Faintly positive for bctv
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,7,2,100.00%,16,bc1103--bc1110,trnF,Early May,2020-05-13,Paterson,H,Russian thistle,,0,0,0,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,18,7,99.80%,22,bc1105--bc1110,trnF,Late May,2020-05-18,Moxee,A,Tumble mustard,,0,0,0,Extracted by Gina
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,11,2,99.80%,46,bc1111--bc1175,trnF,Late May,2020-05-18,Mattawa,B,Flixweed/Pinnate tansymustard,,1,0,0,RADseq
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,8,2,99.70%,299,bc1100--bc1142,trnF,Early June,2020-06-03,Mattawa,B,Russian thistle,,1,1,0,Missing abdomen
Kochia,Amaranthaceae,Kochia,Bassia,Bassia scoparia,40,315,99.60%,15,bc1150--bc1192,ITS,Early May,2020-05-13,Paterson,H,Russian thistle,M,0,0,0,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia scoparia,3,3,99.80%,792,bc1124--bc1171,ITS,Late August,2020-08-27,Othello,E,Russian thistle,M,0,1,0,Faintly positive for bctv
Kochia,Amaranthaceae,Kochia,Bassia,Bassia scoparia,11,3,99.60%,12,bc1150--bc1191,ITS,Late April,2020-04-23,Moxee,A,Flixweed/Pinnate tansymustard,F,0,0,0,RADseq
Kochia,Amaranthaceae,Kochia,Bassia,Bassia scoparia,5,5,99.80%,28,bc1146--bc1171,ITS,Late May,2020-05-18,Moxee,A,Kochia,F,0,0,0,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia scoparia,46,17,98.40%,39,bc1146--bc1190,ITS,Late May,2020-05-18,Mattawa,B,Flixweed/Pinnate tansymustard,F,1,1,0,RADseq
Kochia,Amaranthaceae,Kochia,Bassia,Bassia scoparia,4,3,99.60%,61,bc1146--bc1154,ITS,Late May,2020-05-18,Mattawa,B,Russian thistle,F,0,0,1,Faintly positive for s citri
Kochia,Amaranthaceae,Kochia,Bassia,Bassia scoparia,3189,3334,99.80%,99,bc1140--bc1146,ITS,Late May,2020-05-18,Mattawa,C,Kochia,F,0,1,0,RADseq
Kochia,Amaranthaceae,Kochia,Bassia,Bassia scoparia,71,8,98.70%,124,bc1152--bc1192,ITS,Late May,2020-05-18,Mattawa,D,Russian thistle,F,0,0,0,RADseq
Kochia,Amaranthaceae,Kochia,Bassia,Bassia scoparia,177,207,99.60%,127,bc1152--bc1173,ITS,Late May,2020-05-18,Othello,F,Kochia,F,0,0,0,RADseq
Kochia,Amaranthaceae,Kochia,Bassia,Bassia scoparia,6737,2420,99.60%,190,bc1153--bc1171,ITS,Late May,2020-05-27,Pasco,M,Kochia,F,1,0,0,RADseq
Kochia,Amaranthaceae,Kochia,Bassia,Bassia scoparia,424,377,99.60%,193,bc1153--bc1172,ITS,Late May,2020-05-27,Pasco,M,Kochia,F,0,1,0,RADseq
