BLH_ID,type,family,common_name,genus,organism,primer,short,BC,Code,Barcode,OTU ,Sequences,blh_mix_count,time_period,Year,Date,region,site_name,Terpene,host_plant,extraction_date,nucleic_acid,purity,quality,BCTV,CPt,S_citri
L6,Nightshade,Solanaceae,Black nightshade,Solanum,Solanum nigrum,ITS,20,bc1137,R,bc1173 ,5,2,4,July,2022,44762,Prosser,Q3-Lin,linalool,Cannabis,45211,137.8,2.06,2.41,1,1,0
L7,Weed,Amaranthaceae,Amaranth,Blitum,Blitum petiolare,ITS,20,bc1137,S,bc1154 ,2,46,4,July,2022,44762,Prosser,Q3-Lin,linalool,Cannabis,45211,125.5,2.06,2.08,1,1,0
L7,Mustard,Brassicaceae,Ethiopian mustard,Brassica,Brassica carinata,ITS,20,bc1137,S,bc1154 ,4,5,4,July,2022,44762,Prosser,Q3-Lin,linalool,Cannabis,45211,125.5,2.06,2.08,1,1,0
L7,Mustard,Brassicaceae,Blue mustard,Chorispora,Chorispora tenella,ITS,20,bc1137,S,bc1154 ,8,2,4,July,2022,44762,Prosser,Q3-Lin,linalool,Cannabis,45211,125.5,2.06,2.08,1,1,0
L7,Crop,Fabaceae,Chickpea,Cicer,Cicer arietinum,ITS,20,bc1137,S,bc1154 ,7,66,4,July,2022,44762,Prosser,Q3-Lin,linalool,Cannabis,45211,125.5,2.06,2.08,1,1,0
L7,Mustard,Brassicaceae,Flixweed,Descurainia,Descurainia sophia,ITS,20,bc1137,S,bc1154 ,14,6,4,July,2022,44762,Prosser,Q3-Lin,linalool,Cannabis,45211,125.5,2.06,2.08,1,1,0
L7,Crop,Fabaceae,Alfalfa,Medicago,Medicago sativa,ITS,20,bc1137,S,bc1154 ,7,2,4,July,2022,44762,Prosser,Q3-Lin,linalool,Cannabis,45211,125.5,2.06,2.08,1,1,0
L7,Crop,Fabaceae,Pea,Pisum,Pisum sativum,ITS,20,bc1137,S,bc1154 ,3,6,4,July,2022,44762,Prosser,Q3-Lin,linalool,Cannabis,45211,125.5,2.06,2.08,1,1,0
L8,Weed,Amaranthaceae,Amaranth,Blitum,Blitum petiolare,ITS,20,bc1137,T,bc1155 ,1,28,4,July,2022,44762,Prosser,Q3-Lin,linalool,Cannabis,45211,134.1,2.06,1.8,1,1,0
L8,Mustard,Brassicaceae,Ethiopian mustard,Brassica,Brassica carinata,ITS,20,bc1137,T,bc1155 ,5,4,4,July,2022,44762,Prosser,Q3-Lin,linalool,Cannabis,45211,134.1,2.06,1.8,1,1,0
L8,Mustard,Brassicaceae,Flixweed,Descurainia,Descurainia sophia,ITS,20,bc1137,T,bc1155 ,13,6,4,July,2022,44762,Prosser,Q3-Lin,linalool,Cannabis,45211,134.1,2.06,1.8,1,1,0
L8,Russian Thistle,Amaranthaceae,Prickly Russian Thistle,Kali,Kali turgidum,ITS,20,bc1137,T,bc1155 ,8,13,4,July,2022,44762,Prosser,Q3-Lin,linalool,Cannabis,45211,134.1,2.06,1.8,1,1,0
L8,Crop,Fabaceae,Pea,Pisum,Pisum sativum,ITS,20,bc1137,T,bc1155 ,3,4,4,July,2022,44762,Prosser,Q3-Lin,linalool,Cannabis,45211,134.1,2.06,1.8,1,1,0
L8,Tree,Salicaceae,Willow,Salix,Salix myrsinifolia,ITS,20,bc1137,T,bc1155 ,7,2,4,July,2022,44762,Prosser,Q3-Lin,linalool,Cannabis,45211,134.1,2.06,1.8,1,1,0
L8,Potato,Solanaceae,Potato,Solanum,Solanum tuberosum,ITS,20,bc1137,T,bc1155 ,8,2,4,July,2022,44762,Prosser,Q3-Lin,linalool,Cannabis,45211,134.1,2.06,1.8,1,1,0
L9,Mustard,Brassicaceae,Ethiopian mustard,Brassica,Brassica carinata,ITS,20,bc1137,V,bc1140 ,1,8,5,June,2022,44719,Prosser,Q4-Car,caryophyllene,Cannabis,45211,70.9,2.07,1.51,1,1,0
L9,Mustard,Brassicaceae,Blue mustard,Chorispora,Chorispora tenella,ITS,20,bc1137,V,bc1140 ,2,2,5,June,2022,44719,Prosser,Q4-Car,caryophyllene,Cannabis,45211,70.9,2.07,1.51,1,1,0
L10,Kochia,Amaranthaceae,Kochia ,Bassia,Bassia scoparia,ITS,A,bc1160,19,bc1166 ,14,2,4,June,2022,44719,Prosser,Q7-Euc,eucalyptol,Cannabis,45211,122.8,2.04,1.74,1,0,0
L10,Weed,Amaranthaceae,Amaranth,Blitum,Blitum petiolare,ITS,A,bc1160,19,bc1166 ,2,30,4,June,2022,44719,Prosser,Q7-Euc,eucalyptol,Cannabis,45211,122.8,2.04,1.74,1,0,0
L10,Mustard,Brassicaceae,Ethiopian mustard,Brassica,Brassica carinata,ITS,A,bc1160,19,bc1166 ,7,11,4,June,2022,44719,Prosser,Q7-Euc,eucalyptol,Cannabis,45211,122.8,2.04,1.74,1,0,0
L10,Mustard,Brassicaceae,Wild cabbage,Brassica,Brassica oleracea,ITS,A,bc1160,19,bc1166 ,9,7,4,June,2022,44719,Prosser,Q7-Euc,eucalyptol,Cannabis,45211,122.8,2.04,1.74,1,0,0
L10,Mustard,Brassicaceae,Blue mustard,Chorispora,Chorispora tenella,ITS,A,bc1160,19,bc1166 ,5,12,4,June,2022,44719,Prosser,Q7-Euc,eucalyptol,Cannabis,45211,122.8,2.04,1.74,1,0,0
L10,Mustard,Brassicaceae,Flixweed,Descurainia,Descurainia sophia,ITS,A,bc1160,19,bc1166 ,8,8,4,June,2022,44719,Prosser,Q7-Euc,eucalyptol,Cannabis,45211,122.8,2.04,1.74,1,0,0
